destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,direction_same,Y,distance
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,1,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,1,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,1,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,1,Single,0,4,Architecture & Engineering,5,0,1,3,3,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,1,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,1,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,6,Single,0,2,Student,1,0,3,2,2,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,0
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,1,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,6,Married partner,1,4,Education&Training&Library,6,1,2,2,2,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,1,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,1,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,1,Single,0,3,Student,1,2,1,2,1,2,0,1,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,1,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,1,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,2,Unmarried partner,0,4,Student,4,2,4,3,2,1,0,1,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,0
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,1,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,2,Married partner,1,2,Unemployed,5,0,1,4,3,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,1,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,2,Single,0,2,Healthcare Support,3,4,4,4,4,4,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,1,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,2,Single,1,3,Healthcare Practitioners & Technical,2,0,2,3,2,1,0,1,0
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,1,Single,0,2,Sales & Related,8,1,0,4,2,1,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,1,Single,0,2,Sales & Related,8,1,0,4,2,1,0,0,0
